code,name,date,description,city,location,banner,bannerCopyRight,distances,socialNetworks,media,isRegistrationOpen,promoted,promotional,altitude,temperature,organizer,organizerSocialNetworks
cartagena-del-castillo-a-la-popa-2024,Del Castillo a la Popa,2024-01-28T00:00:00-05:00,,Cartagena,country:colombia|department:bolivar|city:cartagena,,,"6,5k",web@https://www.2george.com.co/evento/del-castillo-a-la-popa-2024,,Yes,No,No,,,,
morroa-carrera-san-blas-2024,Carrera San Blas de Morroa,2024-02-03T00:00:00-05:00,,Morroa,country:colombia|department:sucre|city:morroa,,,12k,web@https://www.facebook.com/people/Liga-De-Atletismo-De-Sucre,,Yes,No,No,,,,
cali-carrera-america-2024,Carrera América de Cali,2024-02-11T00:00:00-05:00,,Cali,country:colombia|department:valle-del-cauca|city:cali,,,10k y 5k,web@https://grupomonte.com/eventos/america-run-series/,,Yes,No,No,,,,
cartagena-media-maraton-del-mar-2024,Media Maratón del Mar,2024-02-18T00:00:00-05:00,,Cartagena,country:colombia|department:bolivar|city:cartagena,,,empty,web@https://mediamaratondelmar.com/,,Yes,No,No,,,,
yopal-blanquita-10k-del-arroz-2024,Blanquita 10k del Arroz,2024-02-18T00:00:00-05:00,,Yopal,country:colombia|department:casanare|city:yopal,,,empty,web@https://www.eventrid.com.co/eventos/juanchocorrelon/blanquita-10k-arroz-2024,,Yes,No,No,,,,
los-patios-media-maraton-patiense-2024,Media Maratón Patiense,2024-02-25T00:00:00-05:00,,Los Patios,country:colombia|department:norte-de-santander|city:los-patios,,,empty,web@https://www.mmpatiense.com/,,Yes,No,No,,,,
cali-carrera-berchmans-2024,Carrera Berchmans,2024-02-25T00:00:00-05:00,,Cali,country:colombia|department:valle-del-cauca|city:cali,,,10k,web@https://www.eventrid.com.co/eventos/juanchocorrelon/carrera-berchmans-2024,,Yes,No,No,,,,
manizales-carrera-de-la-mujer-2024,Carrera de la Mujer de Manizales,2024-03-03T00:00:00-05:00,,Manizales,country:colombia|department:caldas|city:manizales,,,10k y 5k,web@https://www.eventrid.com.co/eventos/tremendacreativa/carrera-de-la-mujer-manizalez-2024,,Yes,No,No,,,,
medellin-parceros-run-2024,Parceros Run,2024-03-03T00:00:00-05:00,,Medellín,country:colombia|department:antioquia|city:medellin,,,"15k, 10k y 5k",web@https://competencias.aplicacionesincontacto.com/formviewer/#!/page/form/a4d499af-d0f3-4c99-9f22-43e740802f11,,Yes,No,No,,,,
cartagena-green-run-2024,Green Run,2024-03-03T00:00:00-05:00,,Cartagena,country:colombia|department:bolivar|city:cartagena,,,10k,web@https://www.medalstore.com.co/,,Yes,No,No,,,,
bogota-carrera-de-la-mujer-trabajadora-2024,Carrera de la Mujer Trabajadora,2024-03-08T00:00:00-05:00,,Bogotá,country:colombia|department:cundinamarca|city:bogota,,,"2,3k",,,Yes,No,No,,,,
duitama-carrera-de-la-mujer-2024,Carrera de la Mujer,2024-03-08T00:00:00-05:00,,Duitama,country:colombia|department:boyaca|city:duitama,,,10k y 5k,,,Yes,No,No,,,,
barranquilla-maraton-2024,Maratón de Barranquilla,2024-03-10T00:00:00-05:00,,Barranquilla,country:colombia|department:atlantico|city:barranquilla,,,"42k, 21k, 10k y 5k",web@https://www.maratonbarranquilla.com/,,Yes,No,No,,,,
cali-carrera-verde-2024,Carrera Verde,2024-03-10T00:00:00-05:00,,Cali,country:colombia|department:valle-del-cauca|city:cali,,,10k y 5k,web@https://www.eventrid.com.co/eventos/juanchocorrelon/pastas-la-muneca-10k-verde-2024,,Yes,No,No,,,,
medellin-corre-por-amor-2024,Corre por Amor,2024-03-10T00:00:00-05:00,,Medellín,country:colombia|department:antioquia|city:medellin,,,12k y 5k,web@https://mcmeventos.com/eventos/corre-por-amor-12-de-marzo-de-2023/,,Yes,No,No,,,,
mosquera-woman-running-10k-2024,Woman Running 10k,2024-03-10T00:00:00-05:00,,Mosquera,country:colombia|department:cundinamarca|city:mosquera,,,empty,,,Yes,No,No,,,,
medellin-parceros-run-2024,Parceros Run,2024-03-15T00:00:00-05:00,,Medellín,country:colombia|department:antioquia|city:medellin,,,,,,Yes,No,No,,,,
bogota-sube-monserrate-2024,Sube Monserrate,2024-03-16T00:00:00-05:00,,Bogotá,country:colombia|department:cundinamarca|city:bogota,,,Bogotá,web@https://www.facebook.com/IDRDBogota/posts/pfbid02gdK4RmUhyTkc4en9aghxgByxk6PF6qNDgqHRe3rku3Tx82P8fEyaYoic4nqkroE6l,,Yes,No,No,,,,
armenia-media-maraton-del-quindio-2024,Media Maratón del Quindío,2024-03-17T00:00:00-05:00,,Armenia,country:colombia|department:quindio|city:armenia,,,"21k, 10, 5k",web@https://mediamaratonquindio.com/,,Yes,No,No,,,,
sopo-carrera-aboles-para-mi-pais-2024,Carrera Áboles para mi país,2024-03-17T00:00:00-05:00,,Sopó,country:colombia|department:cundinamarca|city:sopo,,,"10, 5k y 3k",web@https://parquejaimeduque.com/arbolesparamipais/,,Yes,No,No,,,,
cartagena-carrera-almirante-padilla-2024,Carrera Almirante Padilla,2024-03-17T00:00:00-05:00,,Cartagena,country:colombia|department:bolivar|city:cartagena,,,"10k, 5k",web@https://www.2george.com.co/evento/10k-y-5k-natalicio-a-padilla,,Yes,No,No,,,,
popayan-10k-de-semana-santa-2024,10k de Semana Santa,2024-03-23T00:00:00-05:00,,Popayán,country:colombia|department:cauca|city:popayan,,,empty,web@https://www.eventrid.com.co/eventos/juanchocorrelon/10k-semana-santa-2024,,Yes,No,No,,,,
cartagena-del-castillo-a-la-popa-2024,Del Castillo a la Popa,2024-03-24T00:00:00-05:00,,Cartagena,country:colombia|department:bolivar|city:cartagena,,,empty,web@https://www.2george.com.co/evento/del-castillo-a-la-popa-2024,,Yes,No,No,,,,
bogota-night-race-2024,Night Race de Bogotá,2024-03-24T00:00:00-05:00,,Bogotá,country:colombia|department:cundinamarca|city:bogota,,,10k,web@https://www.nightrace10k.com/2024/app/,,Yes,No,No,,,,
fusa-carrera-u.-cundinamarca-2024,Carrera U. Cundinamarca,2024-03-24T00:00:00-05:00,,Fusa,country:colombia|department:cundinamarca|city:fusa,,,5k,,,Yes,No,No,,,,
cali-carrera-luz-mery-tristan-2024,Carrera Luz Mery Tristán,2024-04-07T00:00:00-05:00,,Cali,country:colombia|department:valle-del-cauca|city:cali,,,"10k, 5k",web@https://grupomonte.com/eventos/carrera-luz-mery-tristan/,,Yes,No,No,,,,
bucaramanga-reto-acapulco-2024,Reto Acapulco,2024-04-07T00:00:00-05:00,,Bucaramanga,country:colombia|department:santander|city:bucaramanga,,,"17k, 7k",web@https://competencias.aplicacionesincontacto.com/formviewer/#!/page/form/cff0f6d4-338e-4b27-948f-1a81e5378416,,Yes,No,No,,,,
tulua-rotary-run-2024,Rotary Run,2024-04-07T00:00:00-05:00,,Tuluá,country:colombia|department:valle-del-cauca|city:tulua,,,"10k, 5k",,,Yes,No,No,,,,
medellin-carrera-por-la-salud-mental-2024,Carrera por la Salud Mental,2024-04-14T00:00:00-05:00,,Medellín,country:colombia|department:antioquia|city:medellin,,,"10k, 5k, 3k",web@https://academia.funlam.edu.co/uenlinea/publico/index.jsf,,Yes,No,No,,,,
bogota-carrera-verde-2024,Carrera Verde,2024-04-21T00:00:00-05:00,,Bogotá,country:colombia|department:cundinamarca|city:bogota,,,"10k, 5k, 3k",web@https://carreraverdecolombia.com/,,Yes,No,No,,,,
